duration,protocol_type,service,flag,src_bytes,dst_bytes,logged_in,wrong_fragment,same_srv_count,same_srv_rate,label
0,tcp,http,SF,181,5450,1,0,9,0.00,normal
0,tcp,http,SF,239,486,1,0,19,0.05,normal
0,udp,private,SF,0,0,0,0,0,0.00,neptune
0,tcp,ftp_data,S0,0,0,0,0,0,0.00,neptune
2,udp,domain_u,SF,545,1024,0,1,3,0.10,smurf
5,tcp,http,SF,300,2500,1,0,8,0.03,normal
0,tcp,http,SF,185,6000,1,0,15,0.07,normal
1,icmp,eco_i,SF,0,0,0,0,1,0.00,smurf
10,tcp,smtp,SF,500,3000,1,0,4,0.20,normal
0,udp,private,SF,0,0,0,0,2,0.12,teardrop
3,tcp,http,S0,0,0,0,0,0,0.00,neptune
8,tcp,http,SF,290,1200,1,0,10,0.09,normal
0,udp,domain_u,SF,0,0,0,1,0,0.00,smurf
1,tcp,http,SF,190,5400,1,0,11,0.05,normal
7,tcp,ftp_data,RSTR,0,0,0,0,5,0.15,guess_passwd
0,icmp,eco_i,SF,0,0,0,0,0,0.00,smurf
0,tcp,http,SF,250,4900,1,0,13,0.08,normal
3,udp,private,SF,0,0,0,0,0,0.00,back
0,tcp,http,SF,210,1500,1,0,23,0.11,normal
0,tcp,http,S0,0,0,0,0,0,0.00,neptune
6,udp,eco_i,SF,0,0,0,0,6,0.00,smurf
2,tcp,ftp_data,SF,150,600,1,0,7,0.08,normal
0,udp,private,SF,0,0,0,0,1,0.00,back
4,tcp,http,SF,300,850,1,0,5,0.05,normal
1,icmp,eco_i,SF,0,0,0,0,0,0.00,smurf
0,tcp,http,SF,123,4000,1,0,12,0.04,normal
0,tcp,http,SF,111,3500,1,0,16,0.10,normal
0,tcp,http,SF,210,1200,1,0,18,0.12,normal
1,udp,private,SF,0,0,0,0,2,0.01,teardrop
0,tcp,http,S0,0,0,0,0,0,0.00,neptune
2,icmp,eco_i,SF,0,0,0,0,0,0.00,smurf
0,tcp,http,SF,200,2200,1,0,14,0.09,normal
1,udp,private,SF,0,0,0,0,1,0.00,back
3,tcp,ftp_data,RSTR,0,0,0,0,4,0.13,guess_passwd
0,udp,private,SF,0,0,0,0,0,0.00,satan
5,tcp,http,SF,285,4800,1,0,10,0.08,normal
0,tcp,http,SF,195,2750,1,0,11,0.06,normal
0,tcp,http,SF,244,5000,1,0,17,0.11,normal
2,udp,domain_u,SF,0,0,0,0,0,0.00,ipsweep
4,tcp,http,S0,0,0,0,0,0,0.00,neptune
0,icmp,eco_i,SF,0,0,0,0,0,0.00,smurf
0,tcp,http,SF,201,4200,1,0,13,0.07,normal
1,tcp,ftp_data,SF,120,400,1,0,2,0.01,normal
0,udp,private,SF,0,0,0,0,1,0.00,back
3,tcp,http,SF,230,3700,1,0,7,0.09,normal
0,tcp,http,SF,210,1650,1,0,19,0.14,normal
0,tcp,http,SF,225,1340,1,0,21,0.17,normal
0,udp,private,S0,0,0,0,0,0,0.00,portsweep
2,tcp,http,S0,0,0,0,0,0,0.00,neptune

1,icmp,eco_i,SF,0,0,0,0,0,0.00,smurf
